"_id",Location,window.start,window.end,l.0.sensor,l.0.value,l.1.sensor,l.1.value,l.2.sensor,l.2.value,l.3.sensor,l.3.value,l.4.sensor,l.4.value,l.5.sensor,l.5.value,l.6.sensor,l.6.value,l.7.sensor,l.7.value,l.8.sensor,l.8.value,l.9.sensor,l.9.value,l.10.sensor,l.10.value,l.11.sensor,l.11.value,l.12.sensor,l.12.value,l.13.sensor,l.13.value,l.14.sensor,l.14.value,l.15.sensor,l.15.value,l.16.sensor,l.16.value,l.17.sensor,l.17.value,l.18.sensor,l.18.value,l.19.sensor,l.19.value,l.20.sensor,l.20.value,l.21.sensor,l.21.value,l.22.sensor,l.22.value,l.23.sensor,l.23.value,l.24.sensor,l.24.value,l.25.sensor,l.25.value,l.26.sensor,l.26.value,l.27.sensor,l.27.value,l.28.sensor,l.28.value,l.29.sensor,l.29.value,l.30.sensor,l.30.value,l.31.sensor,l.31.value,l.32.sensor,l.32.value,l.33.sensor,l.33.value,l.34.sensor,l.34.value,l.35.sensor,l.35.value,l.36.sensor,l.36.value,l.37.sensor,l.37.value,l.38.sensor,l.38.value,l.39.sensor,l.39.value,l.40.sensor,l.40.value,l.41.sensor,l.41.value,l.42.sensor,l.42.value,l.43.sensor,l.43.value,l.44.sensor,l.44.value,l.45.sensor,l.45.value,l.46.sensor,l.46.value,l.47.sensor,l.47.value,l.48.sensor,l.48.value,l.49.sensor,l.49.value,l.50.sensor,l.50.value,l.51.sensor,l.51.value,l.52.sensor,l.52.value,l.53.sensor,l.53.value,l.54.sensor,l.54.value,l.55.sensor,l.55.value,l.56.sensor,l.56.value,l.57.sensor,l.57.value,l.58.sensor,l.58.value,l.59.sensor,l.59.value,l.60.sensor,l.60.value,l.61.sensor,l.61.value,l.62.sensor,l.62.value,l.63.sensor,l.63.value,l.64.sensor,l.64.value,l.65.sensor,l.65.value,l.66.sensor,l.66.value,VW30cm,VW60cm,VW90cm,VW120cm,VW150cm,T30cm,T60cm,T90cm,T120cm,T150cm,Date,Time,DMN.BR09,DMN.BR08,DMN.BR07,DMN.BR06,DMN.BR05,DMN.BR04,DMN.BR03,DMN.BR02,DMN.BR13,DMN.BR01,DMN.BR12,DMN.BR11,DMN.BR10,DMN.Accuracy,DMN.DUD,DMN.DQA,DMN.Completeness,DMN.runTime
61d05b94bf56362b3e90d4b6,CAF05,2022-01-01T13:47:00.000Z,2022-01-01T13:47:30.000Z,VW90cm,0.19,T150cm,45.59,VW90cm,0.82,VW120cm,0.5,T60cm,45.61,T60cm,8.12,T90cm,22.83,VW30cm,0.24,T120cm,45.85,VW60cm,0.4,VW90cm,0.1,T90cm,30.8,VW120cm,0.46,VW120cm,0.83,T150cm,,T60cm,43.41,T30cm,21.03,VW90cm,0.43,VW120cm,0.59,T120cm,,VW60cm,0.96,VW120cm,0.93,VW90cm,0.24,VW90cm,0.26,T30cm,11.5,T60cm,6.28,T60cm,21.6,VW120cm,0.09,VW30cm,0.79,VW90cm,0.15,VW30cm,0.84,VW150cm,0.12,T90cm,39.73,VW150cm,0.51,VW90cm,0.87,VW150cm,0.39,VW30cm,0.02,T60cm,26.07,VW90cm,0.04,VW150cm,0.11,T150cm,12.0,T60cm,18.17,VW120cm,0.6,T60cm,22.51,VW90cm,0.98,VW90cm,0.7,T120cm,46.97,T30cm,44.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47250000000000003,0.6799999999999999,0.43454545454545457,0.5714285714285714,0.28250000000000003,25.796666666666667,23.971249999999998,31.119999999999994,,,01/01/2022,14:47:00,realistic,2,2,2,2,2,true,true,unrealistic,true,unrealistic,realistic,realistic,60,use,enough quality,5,0
61d05b96bf56362b3e90d4b7,N/A,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,T120cm,43.67,VW30cm,,T30cm,20.15,T120cm,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.15,,,26.185000000000002,,01/01/2022,14:47:30,unrealistic,0,2,0,0,2,true,true,unrealistic,true,unrealistic,unrealistic,unrealistic,0,do not use,bad quality,2,0
61d05b98bf56362b3e90d4b8,N/A,2022-01-01T13:47:00.000Z,2022-01-01T13:47:30.000Z,VW150cm,0.27,VW90cm,0.73,VW30cm,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,,0.73,,0.27,,,,,,01/01/2022,14:47:00,unrealistic,2,0,2,0,2,true,true,unrealistic,true,unrealistic,unusual,unrealistic,0,do not use,bad quality,3,0
61d05b9bbf56362b3e90d4b9,CAF05,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,VW150cm,0.76,VW90cm,0.0,T90cm,5.31,VW60cm,0.66,VW60cm,0.57,VW30cm,0.5,VW120cm,0.98,VW150cm,0.04,T60cm,31.21,T30cm,11.65,T60cm,1.32,VW30cm,0.11,VW90cm,0.4,VW120cm,0.29,VW60cm,0.16,VW60cm,0.99,T120cm,31.54,T60cm,38.53,VW60cm,0.98,VW30cm,0.91,VW120cm,0.39,VW60cm,0.85,VW90cm,0.52,T150cm,25.34,VW90cm,0.27,T90cm,18.5,T60cm,11.12,T30cm,0.5,VW90cm,0.78,T30cm,28.24,T120cm,47.34,T90cm,29.71,VW90cm,0.52,T90cm,49.86,T60cm,30.4,T90cm,37.46,VW30cm,0.04,VW60cm,0.76,T120cm,10.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.39,0.71,0.41500000000000004,0.5533333333333333,0.4,13.463333333333333,22.516000000000002,28.168,29.726666666666663,25.34,01/01/2022,14:47:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,realistic,unusual,60,use,enough quality,5,0
61d05b9ebf56362b3e90d4ba,CAF04,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,T30cm,48.04,VW150cm,0.05,T60cm,46.05,VW90cm,0.54,T60cm,11.28,VW120cm,0.03,T90cm,30.75,T120cm,35.1,VW120cm,0.99,T120cm,31.68,T150cm,28.79,T30cm,21.15,T60cm,23.79,VW90cm,0.67,T120cm,13.35,T90cm,2.73,VW90cm,0.85,T60cm,21.79,T60cm,1.49,VW120cm,0.13,T90cm,43.84,T30cm,37.91,VW150cm,0.47,VW30cm,0.74,T120cm,48.12,T120cm,19.53,T90cm,44.63,T120cm,31.94,VW120cm,0.64,VW120cm,0.77,T60cm,10.12,VW90cm,0.56,T30cm,42.75,T60cm,9.93,VW120cm,0.7,T90cm,3.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.74,,0.655,0.5433333333333333,0.26,37.4625,17.77857142857143,25.04,29.953333333333333,28.79,01/01/2022,14:47:30,unusual,2,2,2,2,2,true,true,realistic,true,realistic,realistic,unrealistic,40,do not use,bad quality,5,1
61d05b9fbf56362b3e90d4bb,CAF02,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,VW120cm,0.89,T30cm,16.86,T150cm,27.41,VW30cm,0.42,T60cm,42.49,T30cm,17.98,VW120cm,0.1,T30cm,3.58,T30cm,33.88,T90cm,5.64,VW60cm,0.4,VW150cm,0.76,T30cm,3.17,VW60cm,0.28,T150cm,16.69,VW150cm,0.92,T120cm,4.49,T120cm,9.35,T150cm,21.04,VW60cm,0.48,VW60cm,0.17,T30cm,45.86,VW150cm,0.44,VW30cm,0.56,T120cm,8.64,VW60cm,,VW30cm,0.03,VW150cm,0.08,T150cm,30.52,T150cm,,VW60cm,0.46,VW120cm,0.66,VW30cm,0.43,T90cm,23.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.36,,,0.5499999999999999,0.55,20.221666666666668,42.49,14.58,7.493333333333333,,01/01/2022,14:47:30,realistic,2,2,2,2,2,true,true,unrealistic,true,realistic,unrealistic,unrealistic,40,do not use,bad quality,5,0
61d05ba5bf56362b3e90d4bd,CAF03,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,VW90cm,0.46,VW90cm,0.33,T120cm,3.74,VW30cm,0.83,T150cm,4.04,T60cm,24.36,VW120cm,0.39,T30cm,12.03,VW120cm,0.26,VW30cm,0.69,T60cm,18.41,T150cm,13.92,T90cm,7.03,T30cm,29.77,VW60cm,0.58,T30cm,28.53,VW60cm,0.1,VW150cm,0.39,VW30cm,0.66,T60cm,19.3,T120cm,23.16,VW60cm,0.76,VW150cm,0.8,VW30cm,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5475,0.48,0.395,0.325,0.595,23.44333333333333,20.689999999999998,7.03,13.45,8.98,01/01/2022,14:47:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,realistic,realistic,80,use,suitable,5,0
61d05ba7bf56362b3e90d4be,CAF03,2022-01-01T13:47:00.000Z,2022-01-01T13:47:30.000Z,VW150cm,0.37,VW120cm,0.65,T30cm,1.25,T120cm,36.65,VW60cm,0.31,VW30cm,0.82,T90cm,10.23,T90cm,40.66,VW30cm,0.89,T120cm,11.73,T120cm,36.67,VW60cm,0.89,T30cm,21.12,VW150cm,0.7,T150cm,42.58,T60cm,10.48,VW30cm,0.5,T30cm,13.54,T60cm,38.64,T90cm,7.49,T30cm,37.79,T60cm,29.64,VW30cm,0.87,T120cm,2.86,VW120cm,0.03,T30cm,12.11,T120cm,41.54,T30cm,2.0,T120cm,32.9,VW30cm,0.48,VW30cm,0.38,VW60cm,0.03,VW60cm,0.74,T120cm,16.41,VW120cm,0.96,VW120cm,0.67,VW120cm,0.66,T120cm,9.18,T30cm,8.84,T150cm,40.92,VW150cm,0.51,VW60cm,0.77,T30cm,43.11,VW120cm,0.6,VW90cm,0.18,T120cm,19.84,VW150cm,0.72,VW30cm,0.92,T150cm,26.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6942857142857143,0.548,0.18,0.5950000000000001,0.575,17.47,26.253333333333334,19.46,23.086666666666666,36.666666666666664,01/01/2022,14:47:00,realistic,2,2,2,2,2,true,true,realistic,true,realistic,realistic,realistic,80,use,suitable,5,0
61d05ba9bf56362b3e90d4bf,CAF02,2022-01-01T13:48:00.000Z,2022-01-01T13:48:30.000Z,VW90cm,0.27,T150cm,,T90cm,35.05,VW30cm,0.78,T30cm,25.43,VW60cm,0.87,VW90cm,,VW120cm,0.26,VW120cm,0.74,VW30cm,0.08,T120cm,2.2,T150cm,20.03,VW150cm,0.88,VW120cm,0.56,T60cm,0.29,T30cm,15.46,VW90cm,0.86,T30cm,22.54,T30cm,21.01,VW30cm,0.98,T90cm,,VW30cm,0.19,T90cm,19.5,T120cm,,T150cm,17.61,T60cm,41.3,VW90cm,0.13,T120cm,22.17,VW60cm,0.71,VW150cm,0.81,VW90cm,0.29,VW150cm,,VW150cm,0.98,VW120cm,0.53,T60cm,6.61,VW90cm,0.09,VW90cm,0.22,T150cm,27.36,VW90cm,0.91,T60cm,46.37,VW150cm,0.14,VW60cm,0.99,VW120cm,0.13,T60cm,46.17,T120cm,48.98,T120cm,3.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5075,0.8566666666666668,,0.44399999999999995,,21.11,28.148000000000003,,,,01/01/2022,14:48:00,realistic,0,2,0,2,2,true,true,unrealistic,true,unrealistic,unrealistic,unusual,20,do not use,bad quality,3,0
61d05bb0bf56362b3e90d4c1,N/A,2022-01-01T13:48:00.000Z,2022-01-01T13:48:30.000Z,VW90cm,0.86,VW60cm,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.96,0.86,,,,,,,,01/01/2022,14:48:00,unrealistic,0,0,2,2,0,true,true,unrealistic,true,unrealistic,unusual,unusual,0,do not use,bad quality,2,0
61d05bb1bf56362b3e90d4c2,CAF01,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,VW120cm,0.38,T60cm,20.63,T120cm,49.3,T30cm,20.86,T90cm,47.8,VW60cm,0.69,VW60cm,0.07,T30cm,18.82,VW30cm,0.86,T90cm,,VW120cm,0.03,T150cm,10.85,T60cm,40.34,T90cm,15.48,T150cm,10.03,T30cm,8.88,T30cm,1.42,T150cm,18.18,VW90cm,0.18,VW120cm,0.49,T60cm,47.34,T30cm,32.44,T150cm,23.57,T60cm,47.95,VW120cm,0.35,VW60cm,0.8,VW90cm,0.48,VW90cm,0.58,VW30cm,0.75,T150cm,4.42,VW60cm,,VW60cm,0.27,VW90cm,0.63,T90cm,,VW120cm,0.24,VW120cm,0.12,VW60cm,0.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8049999999999999,,0.4674999999999999,0.2683333333333333,,16.484,39.065,,49.3,13.41,01/01/2022,14:47:30,unusual,2,2,2,2,2,true,true,unrealistic,true,unusual,unrealistic,unrealistic,0,do not use,bad quality,5,0
61d05bb2bf56362b3e90d4c3,CAF04,2022-01-01T13:48:00.000Z,2022-01-01T13:48:30.000Z,VW150cm,0.19,T120cm,34.05,T150cm,33.79,VW120cm,0.69,T30cm,17.77,VW90cm,0.28,T120cm,37.63,VW150cm,0.3,T90cm,1.86,T60cm,5.8,VW150cm,0.86,VW120cm,0.64,T120cm,7.73,VW60cm,0.68,T60cm,33.04,VW120cm,,T30cm,46.66,VW150cm,0.18,T90cm,16.15,VW30cm,0.84,T60cm,49.61,T150cm,20.18,T90cm,24.19,T30cm,35.63,VW150cm,0.81,T30cm,30.52,T120cm,14.62,VW120cm,0.44,T60cm,26.98,T90cm,12.85,VW150cm,0.76,VW30cm,0.85,VW30cm,0.54,VW120cm,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7433333333333333,0.68,0.28,,0.5166666666666666,32.645,28.857499999999998,13.762500000000001,23.507500000000004,26.985,01/01/2022,14:48:00,unusual,2,2,2,2,2,true,true,realistic,true,unrealistic,realistic,realistic,40,do not use,bad quality,5,0
61d05bb5bf56362b3e90d4c4,N/A,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,T120cm,43.67,VW30cm,,T30cm,20.15,T120cm,8.7,VW90cm,0.9,VW30cm,0.91,T60cm,47.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,,,20.15,47.53,,26.185000000000002,,01/01/2022,14:47:30,unrealistic,0,2,2,2,2,true,true,unrealistic,true,unrealistic,unusual,unusual,0,do not use,bad quality,4,0
61d05bbcbf56362b3e90d4c6,CAF05,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,VW150cm,0.76,VW90cm,0.0,T90cm,5.31,VW60cm,0.66,VW60cm,0.57,VW30cm,0.5,VW120cm,0.98,VW150cm,0.04,T60cm,31.21,T30cm,11.65,T60cm,1.32,VW30cm,0.11,VW90cm,0.4,VW120cm,0.29,VW60cm,0.16,VW60cm,0.99,T120cm,31.54,T60cm,38.53,VW60cm,0.98,VW30cm,0.91,VW120cm,0.39,VW60cm,0.85,VW90cm,0.52,T150cm,25.34,VW90cm,0.27,T90cm,18.5,T60cm,11.12,T30cm,0.5,VW90cm,0.78,T30cm,28.24,T120cm,47.34,T90cm,29.71,VW90cm,0.52,T90cm,49.86,T60cm,30.4,T90cm,37.46,VW30cm,0.04,VW60cm,0.76,T120cm,10.3,VW90cm,0.42,T120cm,36.66,T90cm,5.49,T60cm,3.18,T150cm,8.13,VW60cm,0.75,VW30cm,0.15,VW150cm,,VW150cm,0.71,VW90cm,0.2,T60cm,29.05,VW60cm,0.91,VW150cm,0.04,T150cm,41.53,T30cm,35.65,VW30cm,0.38,,,,,,,,,,,,,,,,,,,,,,,,,0.34833333333333333,0.7366666666666667,0.38875000000000004,0.5533333333333333,,19.009999999999998,20.687142857142863,24.388333333333335,31.459999999999997,25.0,01/01/2022,14:47:30,realistic,2,2,2,2,2,true,true,unrealistic,true,realistic,realistic,unusual,60,use,enough quality,5,0
61d05bbfbf56362b3e90d4c7,CAF03,2022-01-01T13:48:00.000Z,2022-01-01T13:48:30.000Z,VW120cm,0.71,T30cm,35.51,VW60cm,0.66,VW60cm,0.82,VW90cm,0.03,T90cm,27.85,VW30cm,0.58,VW30cm,0.49,T30cm,0.33,VW120cm,0.39,VW60cm,0.99,VW90cm,0.43,VW120cm,0.84,VW120cm,0.8,VW120cm,0.63,T60cm,35.06,VW120cm,0.63,T30cm,18.43,VW60cm,0.5,VW90cm,0.14,T30cm,46.14,VW120cm,0.24,T60cm,9.89,T150cm,32.66,VW120cm,0.41,T120cm,24.58,VW60cm,0.46,VW30cm,0.53,VW30cm,0.71,T30cm,6.31,T150cm,35.84,VW150cm,0.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5774999999999999,0.6859999999999999,0.19999999999999998,0.58125,0.89,21.344,22.475,27.85,24.58,34.25,01/01/2022,14:48:00,realistic,2,2,2,2,2,true,true,unusual,true,realistic,realistic,realistic,80,use,suitable,5,1
61d05bc0bf56362b3e90d4c8,CAF04,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,T30cm,48.04,VW150cm,0.05,T60cm,46.05,VW90cm,0.54,T60cm,11.28,VW120cm,0.03,T90cm,30.75,T120cm,35.1,VW120cm,0.99,T120cm,31.68,T150cm,28.79,T30cm,21.15,T60cm,23.79,VW90cm,0.67,T120cm,13.35,T90cm,2.73,VW90cm,0.85,T60cm,21.79,T60cm,1.49,VW120cm,0.13,T90cm,43.84,T30cm,37.91,VW150cm,0.47,VW30cm,0.74,T120cm,48.12,T120cm,19.53,T90cm,44.63,T120cm,31.94,VW120cm,0.64,VW120cm,0.77,T60cm,10.12,VW90cm,0.56,T30cm,42.75,T60cm,9.93,VW120cm,0.7,T90cm,3.25,T90cm,7.76,T90cm,22.46,T90cm,44.68,T120cm,33.18,T90cm,41.18,T30cm,14.17,VW60cm,0.4,T30cm,14.33,VW150cm,0.3,VW30cm,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.395,0.4,0.655,0.5433333333333333,0.2733333333333334,29.724999999999998,17.77857142857143,26.808888888888887,30.414285714285715,28.79,01/01/2022,14:47:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,realistic,realistic,80,use,suitable,5,1
61d05bc1bf56362b3e90d4c9,CAF02,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,VW120cm,0.89,T30cm,16.86,T150cm,27.41,VW30cm,0.42,T60cm,42.49,T30cm,17.98,VW120cm,0.1,T30cm,3.58,T30cm,33.88,T90cm,5.64,VW60cm,0.4,VW150cm,0.76,T30cm,3.17,VW60cm,0.28,T150cm,16.69,VW150cm,0.92,T120cm,4.49,T120cm,9.35,T150cm,21.04,VW60cm,0.48,VW60cm,0.17,T30cm,45.86,VW150cm,0.44,VW30cm,0.56,T120cm,8.64,VW60cm,,VW30cm,0.03,VW150cm,0.08,T150cm,30.52,T150cm,,VW60cm,0.46,VW120cm,0.66,VW30cm,0.43,T90cm,23.52,VW60cm,0.86,VW30cm,0.57,VW120cm,0.38,T30cm,5.32,VW30cm,0.71,VW30cm,0.5,T30cm,8.2,T90cm,7.11,T60cm,46.85,VW90cm,0.26,VW30cm,0.06,T120cm,47.47,T60cm,24.13,VW30cm,0.02,VW30cm,0.97,VW30cm,0.75,VW90cm,0.86,T120cm,32.73,T30cm,20.28,T90cm,10.95,T60cm,40.25,,,,,,,,,,,,,,,,,,,,,,,,,0.4563636363636363,,0.56,0.5075,0.55,17.236666666666665,38.43,11.805,20.536,,01/01/2022,14:47:30,realistic,2,2,2,2,2,true,true,unrealistic,true,realistic,realistic,unrealistic,60,use,enough quality,5,0
61d05bc2bf56362b3e90d4ca,CAF01,2022-01-01T13:48:00.000Z,2022-01-01T13:48:30.000Z,VW90cm,0.77,T120cm,23.45,VW30cm,0.12,T150cm,49.87,T60cm,44.45,VW60cm,0.86,VW90cm,0.57,T150cm,30.05,VW30cm,0.36,T150cm,47.59,VW120cm,0.7,T60cm,11.18,T120cm,47.75,T30cm,13.44,T120cm,10.79,T60cm,13.75,VW60cm,,T60cm,14.85,VW30cm,0.28,T90cm,45.08,T150cm,23.14,T60cm,7.91,VW90cm,0.46,T30cm,10.92,T90cm,36.5,T120cm,20.2,T30cm,31.56,T120cm,20.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25333333333333335,,0.6,0.7,,18.64,18.427999999999997,40.79,24.576,37.6625,01/01/2022,14:48:00,realistic,2,2,2,2,2,true,true,unrealistic,true,realistic,realistic,unrealistic,60,use,enough quality,5,0
61d05bc4bf56362b3e90d4cb,CAF05,2022-01-01T13:48:00.000Z,2022-01-01T13:48:30.000Z,T90cm,15.98,VW60cm,0.77,VW120cm,0.66,T60cm,41.72,VW90cm,0.44,T30cm,20.37,T30cm,45.09,T90cm,27.36,T90cm,49.7,T120cm,1.72,VW150cm,0.26,T60cm,9.24,T60cm,45.31,VW60cm,0.77,VW90cm,0.84,T90cm,17.51,VW60cm,0.23,VW30cm,0.43,VW30cm,0.9,T150cm,33.32,T90cm,2.66,T60cm,7.08,T60cm,31.98,VW30cm,0.89,T120cm,33.04,VW30cm,0.68,VW30cm,0.76,VW90cm,0.06,T120cm,49.09,VW60cm,0.65,T30cm,16.1,T90cm,5.49,T120cm,28.78,VW60cm,0.93,T120cm,27.86,T60cm,33.81,T30cm,41.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.732,0.67,0.4466666666666667,0.66,0.26,30.83,28.19,19.783333333333335,28.098000000000003,33.32,01/01/2022,14:48:00,unusual,2,2,2,2,2,true,true,realistic,true,realistic,realistic,realistic,60,use,enough quality,5,1
61d05bcbbf56362b3e90d4cd,CAF03,2022-01-01T13:47:30.000Z,2022-01-01T13:48:00.000Z,VW90cm,0.46,VW90cm,0.33,T120cm,3.74,VW30cm,0.83,T150cm,4.04,T60cm,24.36,VW120cm,0.39,T30cm,12.03,VW120cm,0.26,VW30cm,0.69,T60cm,18.41,T150cm,13.92,T90cm,7.03,T30cm,29.77,VW60cm,0.58,T30cm,28.53,VW60cm,0.1,VW150cm,0.39,VW30cm,0.66,T60cm,19.3,T120cm,23.16,VW60cm,0.76,VW150cm,0.8,VW30cm,0.01,VW150cm,0.18,VW120cm,0.51,VW60cm,0.83,T30cm,5.12,VW150cm,0.83,T90cm,0.53,VW120cm,0.81,T90cm,38.47,T60cm,29.07,VW30cm,0.95,VW150cm,0.62,T120cm,48.48,VW60cm,0.19,T150cm,43.55,VW90cm,0.21,VW30cm,0.09,VW120cm,0.18,T150cm,32.16,T90cm,37.03,VW120cm,0.55,VW60cm,0.21,T120cm,24.79,VW60cm,0.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5383333333333332,0.5228571428571429,0.3333333333333333,0.45,0.564,18.8625,22.784999999999997,20.765,25.042499999999997,23.417499999999997,01/01/2022,14:47:30,realistic,2,2,2,2,2,true,true,realistic,true,realistic,realistic,realistic,80,use,suitable,5,0
61d05bcfbf56362b3e90d4ce,CAF03,2022-01-01T13:48:30.000Z,2022-01-01T13:49:00.000Z,T120cm,28.52,VW60cm,0.83,VW150cm,0.48,T60cm,10.53,T90cm,36.54,VW30cm,0.28,T120cm,,T90cm,40.6,T90cm,3.55,T90cm,49.66,T30cm,37.25,VW90cm,0.81,VW30cm,0.12,VW30cm,0.11,VW120cm,,T120cm,30.0,VW60cm,0.73,T60cm,1.04,VW120cm,0.89,VW120cm,0.69,T60cm,36.14,T150cm,47.82,T30cm,,VW60cm,0.6,VW60cm,0.45,T90cm,22.52,VW120cm,0.99,VW30cm,0.75,T30cm,48.73,VW90cm,0.12,T90cm,41.87,T150cm,9.59,VW30cm,0.42,VW120cm,0.96,VW120cm,0.34,T60cm,10.95,T90cm,34.41,VW60cm,0.4,VW90cm,0.62,VW120cm,0.25,VW90cm,0.07,T90cm,42.25,VW90cm,0.92,VW60cm,0.81,T120cm,,VW30cm,0.95,T120cm,48.26,T150cm,35.31,T30cm,46.84,T30cm,23.15,VW90cm,0.67,VW30cm,0.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47000000000000003,0.6366666666666667,0.535,,0.48,,14.665,33.925,,30.906666666666666,01/01/2022,14:48:30,unrealistic,2,0,2,2,2,true,true,realistic,true,unrealistic,realistic,realistic,40,do not use,bad quality,4,0
61d05bd0bf56362b3e90d4cf,CAF02,2022-01-01T13:48:00.000Z,2022-01-01T13:48:30.000Z,VW90cm,0.27,T150cm,,T90cm,35.05,VW30cm,0.78,T30cm,25.43,VW60cm,0.87,VW90cm,,VW120cm,0.26,VW120cm,0.74,VW30cm,0.08,T120cm,2.2,T150cm,20.03,VW150cm,0.88,VW120cm,0.56,T60cm,0.29,T30cm,15.46,VW90cm,0.86,T30cm,22.54,T30cm,21.01,VW30cm,0.98,T90cm,,VW30cm,0.19,T90cm,19.5,T120cm,,T150cm,17.61,T60cm,41.3,VW90cm,0.13,T120cm,22.17,VW60cm,0.71,VW150cm,0.81,VW90cm,0.29,VW150cm,,VW150cm,0.98,VW120cm,0.53,T60cm,6.61,VW90cm,0.09,VW90cm,0.22,T150cm,27.36,VW90cm,0.91,T60cm,46.37,VW150cm,0.14,VW60cm,0.99,VW120cm,0.13,T60cm,46.17,T120cm,48.98,T120cm,3.03,VW90cm,0.54,VW120cm,,VW150cm,0.51,VW90cm,0.22,T90cm,22.96,T150cm,3.29,VW60cm,0.15,T120cm,19.81,VW90cm,0.78,T60cm,22.7,VW120cm,0.14,VW90cm,0.98,T90cm,44.32,T30cm,30.87,T150cm,,VW120cm,0.18,VW30cm,0.97,,,,,,,,,0.6,0.68,,,,23.062,27.24,,,,01/01/2022,14:48:00,realistic,0,0,0,2,2,true,true,unrealistic,true,unrealistic,unrealistic,realistic,40,do not use,bad quality,2,0
